ID,DATE,MEDIATYPE,LIKES,SHARE,COMMENTS,ENGAGEMENT
f05bcce1-95f2-42ac-89e0-aceb3ba033ef,2024-06-18,VIDEO,1950,242,346,2538
93c4a861-d513-4c18-a35f-f830f6a37bf9,2024-07-31,VIDEO,2268,425,128,2821
aa401d08-79d2-42c7-8391-9054a4d5aa40,2025-01-02,REELS,2649,99,373,3121
8b887bb6-f02c-4d4b-a056-6d28267ec4aa,2024-10-04,CAROUSEL,473,471,348,1292
f3b34662-9279-4bf5-b7a1-97a1c5702e4b,2024-02-13,STATIC_POST,1718,741,273,2732
81357125-b4ed-42bf-bd6f-fde1c5b27390,2024-04-21,VIDEO,2216,328,262,2806
1d73edee-69a2-421e-905d-e3d65be6ba54,2024-01-24,VIDEO,1363,749,14,2126
e2f98c69-33b5-4c5b-9c19-5980bc79b408,2024-10-18,REELS,3345,147,160,3652
620a951a-823a-4f35-9eca-f176c2972971,2024-03-28,REELS,2035,649,404,3088
01b85cc9-f895-42b3-8dbb-e656e51e107e,2024-10-13,CAROUSEL,3088,552,368,4008
c0d91408-240a-4fd9-a3b8-480149eec9ac,2024-08-20,REELS,4731,151,111,4993
7823fb13-f364-4a72-92f1-5da2c720948c,2024-02-07,REELS,1816,640,22,2478
c7166a39-3e6f-45d6-b6c2-c30d39b9a671,2024-08-13,STATIC_POST,2232,743,154,3129
da409562-30ff-4961-9028-05df7aecfc7a,2024-02-17,REELS,3925,965,76,4966
be5fc91f-7261-4d5b-b87b-35fe193b6caf,2024-08-10,STATIC_POST,1635,262,76,1973
4da374f6-c0f6-4e82-bcbb-d8b18fe93f1f,2024-02-07,STATIC_POST,529,989,52,1570
18308e31-ec0a-49e4-b798-2117b6f5dda9,2024-10-19,REELS,3125,95,359,3579
316936e3-d3de-4e7e-a546-f5f9c56773bc,2024-06-10,REELS,1437,981,115,2533
acb823f2-3961-4b25-a9e2-f058cc47629b,2024-02-07,STATIC_POST,3798,409,72,4279
8e5e0b5e-6129-41f0-872c-f6b38e5c5d23,2024-10-04,REELS,3269,129,301,3699
