ID,DATE,MEDIA TYPE,LIKES,SHARE,COMMENTS,REPOST,ENGAGEMENT
00bb37de-7da0-4653-9a34-328f5135b804,2024-09-12,REELS,1614,721,277,159,2771
31f137cf-d1f6-4ae3-8fe4-a50b6223e1e0,2024-12-12,TEXT,1955,397,333,151,2836
6a7bdaca-bb8b-4276-871e-dfe7c88fa5b9,2024-11-10,TEXT,425,330,149,258,1162
6991bbe2-0934-454d-a7a9-ac427d3ed123,2024-09-04,REELS,1630,891,9,196,2726
53665966-66be-43ab-8479-08bb80f1cb60,2024-09-24,TEXT,4892,871,302,205,6270
34fd4e73-5fb5-49c0-bff4-9f573c72aa9c,2024-02-12,TEXT,1113,730,458,186,2487
c8d3aab9-a3c8-42cc-a8f2-c3e5c248d2ad,2024-08-20,REELS,3173,772,358,230,4533
a2cbac48-d2ee-43f4-8c02-685010327aa4,2024-02-16,TEXT,4315,21,480,79,4895
713315dd-cfac-4e0f-9eb0-1f521c1bc426,2024-10-18,STATIC_POST,61,838,31,201,1131
8434615a-6fcb-415e-90b9-ba7da6d69487,2024-02-05,TEXT,4225,893,446,73,5637
5e2f26ae-d60c-4989-990c-eafd06583f43,2024-05-09,TEXT,655,48,236,25,964
abe48784-3db7-4c3c-96b2-e9e286066a30,2024-05-15,STATIC_POST,2204,658,420,154,3436
31dd3c0a-9bdb-48f1-b4c8-d9ecefbf309f,2024-11-15,STATIC_POST,142,257,401,127,927
d433b726-df70-407b-8ae5-d001b3e1f069,2024-08-15,STATIC_POST,1135,857,170,150,2312
60d0ebec-a628-4d51-8c5a-379069bb5415,2024-06-08,TEXT,919,63,367,294,1643
07c99623-5a17-4ef7-9b8d-f89c65b723cd,2024-12-22,REELS,2753,651,389,76,3869
61ac1cd3-95e5-4edc-9b47-65276cf5671e,2024-08-15,REELS,3449,670,381,80,4580
67741481-5de4-4c4b-acbd-ae8cc5c57154,2024-09-05,REELS,841,869,406,220,2336
c5665984-4d46-40e0-be57-4a25e34500f5,2024-12-18,REELS,4655,910,95,243,5903
1de4786b-6a1d-4733-94e6-0df6877bb029,2024-04-16,REELS,368,521,325,22,1236
c39865b2-27f2-4a66-b05c-2a7647281181,2024-12-23,REELS,906,206,141,83,1336
8d154bd8-9ab7-4b7e-91a9-59554acab961,2024-12-09,REELS,3508,579,141,225,4453
96dfe5f2-f69c-42be-a8e0-a339ab345be5,2024-09-12,REELS,3468,259,450,7,4184
717934be-c260-4ca7-ae5e-44288565075d,2024-07-23,TEXT,3920,8,421,15,4364
f52333e3-7d46-41eb-962c-604a6ce64329,2024-07-31,REELS,4251,340,204,220,5015
caafa2e1-fbe1-48f1-a706-b108029321e9,2024-08-14,REELS,4796,522,479,68,5865
55312ebd-372e-4ed5-b1d0-c2ce577c85d2,2024-08-08,TEXT,3107,196,118,132,3553
ce5f80f3-cd66-4340-a049-675e03461f7b,2024-07-16,REELS,712,407,235,242,1596
93e1947b-8e20-41f6-a2ae-a1bd9717ee53,2024-11-20,TEXT,4210,343,197,17,4767
136d56bd-78ee-4521-84ac-7e94eec2fefc,2024-06-05,REELS,544,483,402,104,1533
c91c1f4b-a92c-4b3a-a929-70fe927345fd,2024-06-13,REELS,846,602,462,144,2054
87993505-c03d-44ed-8e74-47a8c5273138,2024-12-12,STATIC_POST,1431,715,348,231,2725
2c5f5da6-8d50-4b8c-83af-9314ad0760b2,2024-06-04,REELS,949,234,264,266,1713
fa313199-778f-4d5d-9c94-0197696382db,2024-03-31,STATIC_POST,3917,35,415,202,4569
08cb26fd-4bff-4b0f-b05f-8827b6fc20f6,2024-07-01,REELS,2838,519,179,234,3770
97fc0d9f-0079-4803-b6e6-5495186acf24,2024-09-01,REELS,350,833,235,87,1505
9fe73316-e326-40cb-96d8-b4ca456ae8cb,2024-03-02,TEXT,1097,304,57,300,1758
2faf0a5e-3920-418b-b6dc-8b25839c1ffb,2024-10-27,TEXT,1338,277,38,182,1835
549f2998-c2a2-4b00-9e47-e97d0be905fa,2024-03-18,STATIC_POST,4699,47,310,40,5096
9b3b5260-d95e-4970-be68-d887c6dec2bf,2024-11-07,TEXT,3603,685,341,41,4670
28ab9fd0-9aa2-4ecc-8cdf-fe1f5bfb037c,2024-12-11,TEXT,2353,114,241,166,2874
4427dd8f-6902-4acd-89eb-cee03865d0e8,2024-09-15,TEXT,4423,918,338,41,5720
6691b5c4-2d41-44d0-ba7c-ab97af6f9bf3,2024-09-17,REELS,4594,625,471,3,5693
88006833-f828-4a80-b4db-329edde0ffe5,2024-06-18,TEXT,3483,160,27,109,3779
09fb1a50-e805-49d0-b62b-ba88ecdeafa2,2024-11-17,REELS,4905,784,436,150,6275
03761d52-26a8-4dd9-b7de-4809fc6d7080,2024-11-09,REELS,1415,889,3,161,2468
972200b2-7da3-4629-a7d6-d381212f8f02,2024-09-07,REELS,1401,9,34,218,1662
4e053871-4dad-4e44-b2a0-856bf56f8049,2024-06-01,STATIC_POST,410,653,316,129,1508
9444e295-948a-4074-8a8d-d0941d1c78ce,2024-09-14,REELS,4790,92,211,95,5188
282bf646-9551-424f-ae1e-3602081d5b29,2024-04-15,TEXT,1356,725,136,279,2496
f2c42386-7adb-495d-abdf-bb740e0842ff,2024-10-14,REELS,2958,243,303,210,3714
cc1bdc88-a855-44a5-94e5-3309586e0f60,2024-08-15,TEXT,4064,5,445,196,4710
2201f445-0de6-4b0e-84b4-d13d8bffffb3,2024-03-31,STATIC_POST,1788,383,209,229,2609
00c1f56b-5362-422f-a591-b8c80ed48e55,2024-07-30,TEXT,1040,817,12,151,2020
ba659513-7761-4575-8b80-97498a7f2244,2024-04-30,STATIC_POST,883,234,431,81,1629
a78b405c-0c96-412d-9f53-775a0839d40f,2024-11-17,REELS,3749,429,181,283,4642
4df612a4-48a3-4c94-8582-1d00ec509fb8,2024-05-28,TEXT,4061,648,249,54,5012
04e6bb3e-d534-4640-adef-9cb460c9a670,2024-11-10,STATIC_POST,3815,679,485,117,5096
be5c373c-4c43-4178-846f-4cb54f813df6,2024-07-17,REELS,2165,316,415,244,3140
0b4e0511-2d42-4227-8995-7516203483b6,2024-01-19,TEXT,4086,874,18,121,5099
6f8fe501-8e86-4bc7-9c2c-bd83f53a4dbe,2024-06-22,REELS,1078,908,469,206,2661
36a3e694-95f3-4431-a23e-cf1b668d6ac1,2024-02-02,STATIC_POST,4875,612,401,23,5911
d4602cf8-823a-453f-b3c2-f11371b210a5,2024-12-24,STATIC_POST,2279,708,41,218,3246
866cd227-2812-4b45-ba36-68ffff732fdc,2024-02-10,STATIC_POST,3457,433,483,131,4504
684a7a64-fb89-4578-b769-977399d1b85f,2024-11-29,REELS,4160,64,115,125,4464
505b1bc5-723e-4655-9e5b-ebae89c313de,2024-10-26,STATIC_POST,1478,595,260,13,2346
03dfc31c-d041-4ea1-b2ca-8c907a34ab93,2024-07-10,STATIC_POST,239,253,335,36,863
5abfb25e-1e48-4db9-aca2-4ce35931b4cf,2024-12-30,STATIC_POST,3929,932,310,171,5342
56ceac7a-0faf-4612-9460-6e984f0e8c74,2024-12-31,TEXT,4555,35,97,3,4690
5dc8d225-74bf-4d8b-8aee-7b1a672b4d13,2024-06-11,REELS,28,413,95,195,731
266b8ad2-6792-43d9-b386-3d8fea9fec4e,2024-06-09,REELS,841,339,11,219,1410
dba51aec-3686-4c44-98af-1134c7171a77,2024-04-23,REELS,1078,934,236,274,2522
196cb3e6-3b5a-4e08-9882-60124d0514ab,2024-11-30,REELS,1913,187,328,193,2621
4923fd91-8b1e-4877-bfba-201d18244d8b,2024-05-12,TEXT,3832,262,499,59,4652
3411581a-9e83-4742-8dce-46ea4a7abf90,2024-07-27,TEXT,1554,80,88,217,1939
2d642377-705b-4673-ba69-cbdbe10a6288,2024-04-05,REELS,604,971,2,37,1614
dfa2a05d-952d-4663-9db9-00a7da452974,2024-12-22,TEXT,4809,512,319,47,5687
95cf1ece-c8c0-4d67-9302-b5f6e0100fb9,2024-06-23,STATIC_POST,4619,695,110,289,5713
45f80d77-2951-4d55-918c-860b99d37871,2024-10-13,STATIC_POST,1960,72,11,273,2316
998fbe3f-3c37-4166-a717-35c0924cb5b7,2024-04-16,REELS,4417,994,357,286,6054
87080667-e836-4f4f-ac4a-8e5aa2655e82,2024-02-13,STATIC_POST,58,579,392,284,1313
5a360f89-f5a8-460f-8129-011e1c2ea4b3,2024-10-26,STATIC_POST,1554,857,116,171,2698
e66aad84-3d0a-44cf-93cf-b6537797f586,2024-07-01,REELS,1905,856,230,37,3028
d8d8155c-aa12-4874-874c-fa47edc1d984,2024-04-17,TEXT,2921,798,72,18,3809
fcabe623-07d2-4744-8c51-428bf097f171,2024-01-28,STATIC_POST,3719,778,152,198,4847
0efe12e3-227c-4733-b946-48622cfa5b58,2024-12-19,TEXT,4587,943,483,229,6242
e180ce70-21de-46d6-b22d-77edf4f2fdaa,2024-08-25,REELS,4898,172,396,59,5525
f2adfbea-54f0-49e4-b3b4-0ca36284ac27,2024-11-17,STATIC_POST,3521,375,499,67,4462
e05cc7a6-f6e8-4d9c-a4dc-bd0fd795ba22,2024-06-24,TEXT,978,301,444,115,1838
a2c39019-381f-4d1d-900e-aea64d600af1,2024-04-15,REELS,4575,569,4,29,5177
507e902f-dc59-4f4b-a028-67600c088716,2024-05-11,TEXT,1474,845,471,118,2908
245df187-2c99-426e-b986-95f55eb5b989,2024-07-16,STATIC_POST,1583,438,49,36,2106
c4dc9ca1-a33e-4dec-865d-cda85a3b47fe,2024-06-20,TEXT,550,349,270,250,1419
348e6a76-9f8c-4508-9b91-f12008318e31,2024-03-25,STATIC_POST,46,183,196,198,623
cd4154cf-212c-4b65-a331-7cc4156d53d7,2024-04-11,TEXT,3132,803,263,168,4366
69144e8c-e442-4d94-98b4-7528fab4205f,2024-01-08,TEXT,4636,818,177,289,5920
668681e3-e9b5-4541-9e84-7d3a5637e176,2024-10-16,REELS,1607,785,459,78,2929
83015728-93bb-4d03-b1a7-b5f6bc109707,2024-06-03,TEXT,1723,613,446,256,3038
567cdbbc-ddc0-479e-803e-4b97b002e7a7,2024-07-15,TEXT,2262,65,433,156,2916
2158998c-0dbd-46c1-b5b8-b3f677d3cfc0,2024-03-25,STATIC_POST,4208,30,454,87,4779
9c4879a2-7b17-4539-9d4d-72d05512a2a8,2024-03-13,REELS,4948,853,331,288,6420
857c4f38-2b22-4fa0-af5e-5b2c1ea465a8,2024-03-14,TEXT,4154,542,443,227,5366
ea126f34-def3-47f0-b43d-2da11a0c2887,2024-10-09,TEXT,4253,124,408,160,4945
e32ca075-c828-4e35-80fb-dc67fb504a0f,2024-08-04,STATIC_POST,4713,433,153,89,5388
91092936-1e67-4a48-8340-51833b21354c,2024-05-26,REELS,2040,272,146,277,2735
b5f94a88-1857-4566-a0a2-72f6cce4e4fc,2024-05-09,TEXT,3930,509,230,59,4728
667cb8da-a33f-42e1-a24c-ac6a364c41a8,2024-09-10,REELS,1012,221,344,46,1623
ea5a9c77-ae7d-4372-9a53-e21792ba13a0,2024-02-22,REELS,3012,255,47,264,3578
183380f6-6115-4551-99b1-a9cb986731e0,2024-05-27,TEXT,3768,200,171,29,4168
6ceba9dc-92f8-480d-a180-991a3d7ecde6,2024-01-24,REELS,3653,745,141,2,4541
17cdba23-dfb7-4ce6-985f-8ce53e7daff5,2024-11-10,REELS,2573,103,383,157,3216
7fb3c3be-e5c6-49de-a708-9bc7c1dbe84b,2024-11-20,REELS,3811,460,205,141,4617
46ccd79d-ff6d-415f-897c-f588dfb1559c,2024-09-18,REELS,869,417,273,28,1587
b295bb46-9652-4266-9767-70ae0240ce5c,2024-11-29,REELS,3968,974,288,8,5238
7271a2ea-2666-40e9-ab57-717d13ac87a4,2024-08-02,TEXT,4538,899,170,188,5795
b8931d31-5f0b-425b-ab87-8264a1d20cc0,2024-02-20,STATIC_POST,4167,702,166,94,5129
099303e6-823d-46d9-98d2-9faa2edf7e62,2024-08-01,TEXT,1354,256,356,278,2244
8ab16a18-a015-45c7-b5c1-90db44b38056,2024-06-15,STATIC_POST,866,660,354,38,1918
e1a21003-5d02-48ca-b90e-3c6edf5f73ab,2024-06-27,REELS,4562,88,71,47,4768
ff89749a-74a0-413b-938c-1312ae8b80db,2024-12-09,STATIC_POST,4043,771,25,241,5080
0c3632fb-bfb8-48a6-8bfb-846aa8b0506f,2024-11-08,REELS,1477,356,431,177,2441
0cfea46c-c39a-470b-b75e-1a5fe7084aaa,2024-03-23,REELS,882,381,239,48,1550
27f810a6-afdd-4692-8c7e-0e30a8980bff,2024-02-29,STATIC_POST,3008,740,175,162,4085
2224b766-a8e9-452f-b529-a5412815d6af,2024-09-22,STATIC_POST,4666,777,372,132,5947
0d2539af-3e5e-43c3-8de7-74c9dbc40113,2024-11-28,STATIC_POST,4811,933,307,129,6180
d835b07e-64cf-422e-83b5-c907adf103aa,2024-12-11,STATIC_POST,2907,133,377,209,3626
3b1e0de3-ba36-4799-a6c9-963e98cea726,2024-05-01,TEXT,1800,698,217,8,2723
80b66c56-aecf-4c30-ad3f-a170058977b3,2024-04-02,TEXT,448,791,277,227,1743
ada5284f-3dc4-482f-9ff6-18bdc54a57fa,2024-10-29,REELS,3337,887,120,155,4499
64b162dc-f96b-4ac1-b297-0cd27d312beb,2024-08-21,REELS,233,655,33,53,974
7b5cc09a-306e-48e3-8f76-e9f7d25f07d6,2024-10-28,TEXT,3492,111,324,147,4074
da354820-0cb3-4d47-9e03-aa1843260106,2024-02-08,REELS,4239,28,293,280,4840
e0d26bff-5e13-4d59-b37c-ecc3405c898c,2024-07-27,STATIC_POST,4981,164,394,266,5805
ed665465-caad-4e18-982b-a58929e754bb,2024-08-10,TEXT,4852,814,53,192,5911
0e1e9ebf-0cb3-40b7-b752-066a224577e0,2024-01-21,REELS,4534,613,86,271,5504
6db205fd-3865-43ce-b175-7ed9171a8750,2025-01-04,REELS,3027,313,101,267,3708
de5fd601-30ff-450b-9224-67b6f16596b2,2024-04-10,REELS,3258,932,398,186,4774
3d475f3e-0f5a-482a-85b8-76d028f44510,2024-10-10,STATIC_POST,3272,279,360,56,3967
46d5ad60-9816-4e0c-90a7-36267874cdab,2024-08-16,REELS,48,593,197,261,1099
e34acd3a-b4c9-4dea-ad58-92e49b0b33cd,2024-01-16,REELS,1899,285,249,177,2610
d0ea211e-d0fd-4818-810a-bea1421b0ac3,2024-07-25,STATIC_POST,613,854,449,160,2076
56d7b453-fa54-4fcd-ad53-b8e9f3734b11,2024-04-10,STATIC_POST,2493,475,270,76,3314
c5367cc2-cfb8-4541-89fd-1a2b8e94e165,2024-04-18,STATIC_POST,1246,132,82,63,1523
8a230033-b2e9-4580-8013-4750e206618f,2024-08-13,TEXT,4669,444,233,199,5545
4be15885-7b04-46b9-992a-6d95bcc37988,2024-05-01,STATIC_POST,788,225,399,248,1660
d924fa21-6df6-4cbe-925f-9c140bd34a43,2024-01-30,STATIC_POST,2711,939,72,300,4022
037d40fe-5878-4dc4-bed8-d9c1ba972c8e,2024-11-15,TEXT,4299,28,12,286,4625
c09a40e2-a04d-4f27-8d28-e6e8509bca2d,2024-11-07,REELS,4960,400,346,252,5958
0764cacb-b0f0-4637-9008-f3c87e75d303,2024-12-04,TEXT,4113,610,421,78,5222
783cc58f-d461-40bf-baac-ffe3f1765bfc,2024-05-03,TEXT,2376,972,163,128,3639
e2924b6f-851c-4e4f-ba1e-650c5f517caa,2024-06-21,STATIC_POST,1143,225,414,179,1961
84e9d7ed-98fc-4994-be0b-b50bc38c4076,2024-02-20,REELS,2092,624,314,49,3079
df005606-4f45-4e35-9e45-a57b28589a11,2024-09-28,STATIC_POST,4145,754,400,207,5506
16806574-eecf-49d2-b396-b0988ed01a70,2024-05-21,STATIC_POST,15,66,339,147,567
9d20607f-371d-4643-8cc2-2fc95b58b969,2024-09-11,REELS,1314,704,328,246,2592
91b7d7cd-c318-498e-bbe2-ede32d755d17,2024-12-10,TEXT,3478,372,195,47,4092
74187771-927b-4db4-8521-f7ca6b014c5f,2024-03-16,STATIC_POST,1247,752,442,257,2698
457aa46c-4560-4a38-b99f-99582fe378af,2024-05-05,REELS,4693,817,192,248,5950
ce2f0e87-557c-4a8a-b906-c9f64ed64848,2024-12-19,REELS,3628,9,384,119,4140
1b4163f3-59d6-4717-a9f2-e1189151458c,2024-11-06,STATIC_POST,1132,590,186,288,2196
ac994cda-84f3-41df-af80-462b132ddb5f,2024-10-24,STATIC_POST,803,617,448,160,2028
420ea33b-bd25-4600-a3bd-3e70dea30b5e,2024-12-30,REELS,469,317,493,222,1501
dbf1045a-8236-41d0-a9fb-0ad90f71206c,2024-10-28,REELS,138,714,487,92,1431
77b3181a-7b1c-4054-aeff-d6c08900b657,2024-06-02,STATIC_POST,1049,148,187,103,1487
1dccaff7-15b9-4203-bf9f-290e9aa3ddc4,2024-12-13,STATIC_POST,611,121,397,199,1328
9851e2fa-ec41-4a52-9df0-dcd8cce4e15e,2024-11-07,STATIC_POST,3439,748,461,34,4682
316d2c42-6b3a-4da0-ae60-8da02c3ffea2,2024-04-26,REELS,2719,43,389,187,3338
fc149676-33e4-4fde-9ac8-3814e8d08aae,2024-06-27,STATIC_POST,859,841,223,125,2048
b849a9e3-35eb-458b-aa73-0a44d9ed4dac,2024-08-13,REELS,2493,930,51,139,3613
840b9aa7-4974-4af3-b823-80f26a8976c7,2024-08-08,TEXT,4784,615,57,36,5492
