ID,DATE,MEDIA TYPE,LIKES,SHARE,COMMENTS,REPOST,ENGAGEMENT
43b1c10d-2028-4caf-882e-da97213897d0,2024-09-22,TEXT,71,587,152,249,1059
540a3bff-f600-4027-8344-187703077339,2024-11-03,VIDEO,3178,721,467,260,4626
85c4dfff-45a4-44f4-8928-1995bdcc61c9,2024-09-21,TEXT,421,454,187,205,1267
b5811779-efb4-4ea8-b258-058e93e8799e,2024-11-27,STATIC_POST,389,952,25,284,1650
7bface64-8b23-4224-8f4e-5ca0cf2a9110,2024-06-12,TEXT,2793,130,6,285,3214
96fe118d-b662-47b0-900f-b35da6ce208a,2024-06-04,TEXT,1017,749,402,70,2238
044eded4-5dfb-43c5-b15e-98514542cdd7,2024-09-09,VIDEO,686,313,127,94,1220
236a2b2f-eddd-4cb5-9869-ddd689ca34b6,2024-11-20,STATIC_POST,4235,638,234,201,5308
c8cd52fc-52a4-4c8c-b746-bc48e3bbdc70,2024-12-18,VIDEO,4436,372,285,46,5139
5bc37bb6-a168-453e-9ab7-3a64690a5375,2024-09-07,VIDEO,4912,198,211,165,5486
f487a361-1a92-4392-8c32-73ad2800d041,2024-05-24,STATIC_POST,4819,508,473,253,6053
2112bd44-d42c-4e06-bdd7-25acf5d5b232,2024-04-15,TEXT,4805,349,432,225,5811
4834b02e-1d01-436b-8ea4-c92b69d0c5ee,2024-11-09,TEXT,2817,953,320,146,4236
3541b05f-6bb3-4d0b-9912-0a852343f85d,2024-06-09,TEXT,4443,10,275,259,4987
1d76ce30-de62-46f8-8f71-f4a48bdcba02,2024-02-13,VIDEO,1159,975,409,206,2749
3092e970-a229-4cab-bb33-c2cc4348e103,2024-12-28,VIDEO,1238,199,202,107,1746
01939b35-1d7c-4ac6-a6d4-b8793ae68dc5,2024-02-21,VIDEO,2846,218,106,247,3417
a3eaa32a-7c2d-4880-94a0-c8b7c4a30868,2024-12-12,TEXT,3989,475,473,171,5108
565513e3-4967-4fa9-bc74-399182724688,2024-06-14,TEXT,686,199,44,38,967
5453e488-53a7-4ca9-a836-ca94253d573b,2024-04-26,VIDEO,4817,200,287,177,5481
f65dd2e0-9000-430f-aa55-a216342a6bc3,2024-12-05,TEXT,1452,807,389,227,2875
82cc2fdc-ba0d-47f4-bbd4-990876ad4227,2024-05-09,VIDEO,1854,66,499,18,2437
02145f1f-0ef9-4181-acd7-345397953dc3,2024-06-10,TEXT,2354,349,195,119,3017
ccc6cd01-465a-4a2f-a66a-60f990e57b9f,2024-11-27,STATIC_POST,94,386,85,15,580
83832514-5bf5-47d2-a310-4b94055a9780,2024-08-04,VIDEO,951,863,271,256,2341
30fb0e2b-5dd3-49cf-9dcc-fb015e34e7d7,2024-09-12,STATIC_POST,1032,78,73,125,1308
d74dba2f-0dd1-4c12-a643-5fc54b50d44a,2024-11-18,VIDEO,999,37,254,70,1360
c4557c6a-9d14-45e1-b109-2fe08c85d365,2024-04-10,TEXT,1535,615,291,142,2583
ca3afed5-a296-4781-97fb-bf8d329e5975,2024-11-24,TEXT,151,185,215,226,777
db982a71-0a7f-4e0e-b608-48c79dddf843,2024-06-19,STATIC_POST,198,100,376,169,843
9a964322-4e23-4eb9-b683-57608ac94dd7,2024-03-30,TEXT,2965,595,42,211,3813
adfe5498-6dee-4312-a439-c461f69da877,2024-06-16,STATIC_POST,4113,533,112,152,4910
c04d44fa-0cc7-4a9e-bc54-b1207942e600,2024-05-18,TEXT,198,720,53,263,1234
a28d64d9-a969-4016-8bc5-856b3de2863d,2024-06-25,TEXT,1986,975,49,298,3308
76dc4758-1311-4b24-a3c8-4b59edc040db,2024-09-12,VIDEO,2656,355,440,21,3472
b3da95c2-4581-4e7a-a06c-4a05ef89515b,2024-12-27,STATIC_POST,2016,303,175,179,2673
8958ed84-7812-4026-bf8b-99fb151268d9,2024-09-15,VIDEO,521,126,403,251,1301
266c57ec-44c8-46ee-86a2-deac03c99bdb,2024-12-23,TEXT,2000,809,251,295,3355
817ff37a-e4aa-4ea0-9a71-81de2738472b,2024-06-22,VIDEO,1078,305,229,53,1665
d81a09f1-a2ec-4cbb-8ce0-b871b8e9466f,2024-11-13,TEXT,802,169,77,272,1320
1fca67d9-3895-4b1f-9427-04a40763216f,2024-05-16,VIDEO,4844,881,433,136,6294
9fe42f1c-74c3-4184-9a2c-5ae01c76d685,2024-02-12,STATIC_POST,3586,48,437,159,4230
f9e9eff1-ff46-4155-b915-eb90efd254d0,2024-04-26,TEXT,523,866,370,54,1813
190520bc-91bc-410d-b1b1-b1d584e373aa,2024-01-28,STATIC_POST,58,970,446,192,1666
509c6358-552d-4a28-b24e-3154b49859ea,2024-05-18,TEXT,3982,230,283,167,4662
556395b2-ff4a-423b-af37-4c8a909a8886,2024-06-15,TEXT,2665,340,68,270,3343
c8fde74c-4bb6-44e2-8ae4-f73775db9cd3,2024-12-03,STATIC_POST,2033,1000,90,169,3292
ba7df071-b97d-4618-9d16-423a1eb7dd18,2024-04-14,TEXT,286,128,86,12,512
32b1582a-cb40-4d61-a947-e44f611567f7,2024-02-17,VIDEO,265,575,277,176,1293
7166973c-930b-460d-89b9-f85efebc8fd0,2024-07-15,TEXT,2361,123,338,114,2936
5bd5b4c4-0e74-440e-b635-21cad1ed9023,2024-09-15,VIDEO,446,268,126,236,1076
9bdae9df-adf7-4d6d-b63a-0b6bf629dd04,2024-07-03,TEXT,2585,367,236,104,3292
c81f3f68-3916-4dec-b30c-4a056a7b2d4e,2024-12-22,VIDEO,2778,114,468,233,3593
24e53dc6-d9c5-4bd7-809c-d95c64e4a81d,2024-05-10,STATIC_POST,4410,338,118,223,5089
94b88fff-e683-401e-9e97-ac6635d4e008,2024-11-30,STATIC_POST,4495,633,6,231,5365
c3b79812-e25a-4163-a48d-b79cea0f00d9,2024-06-05,STATIC_POST,947,620,455,160,2182
b332163b-549c-4c95-bc50-f434a0723fbf,2024-01-09,TEXT,1398,647,166,61,2272
1fce47df-7c20-40de-a61e-c8957de9de04,2024-11-19,TEXT,2164,446,54,9,2673
540bfdae-6add-4976-acc4-265348cc509b,2024-09-26,TEXT,1130,107,121,1,1359
9858e182-5365-4588-86ac-a89b1b53c261,2024-06-11,STATIC_POST,3610,34,285,281,4210
75908b2d-075e-4335-85e0-790f5f374135,2024-10-25,TEXT,1202,525,437,49,2213
3aa2e4bc-a957-4143-ad38-79f9b90a8624,2024-09-10,STATIC_POST,2918,157,487,195,3757
da30eaea-9a8a-455d-9dc6-f55b57845eac,2024-09-25,TEXT,4036,826,388,291,5541
2462a020-5731-4ed8-a964-0553a180ad1a,2024-08-27,VIDEO,3110,828,283,145,4366
c4f568ca-8caa-4959-b5ef-1e088b56b755,2024-08-18,TEXT,1406,513,144,28,2091
9008cc1c-495d-476a-bc95-768a55bffb73,2024-12-27,STATIC_POST,3380,297,269,25,3971
d867b388-109d-4496-a144-4ea1a1378cd3,2024-06-02,VIDEO,4617,553,301,242,5713
2ef23891-455b-4ca7-9008-da5b94ba4679,2024-11-09,VIDEO,1644,350,9,105,2108
9e4313bd-78a1-4c98-9d75-465fe862a115,2024-01-24,VIDEO,3490,341,134,56,4021
ca335206-7606-41d1-a862-57ef4b065fb8,2024-05-25,STATIC_POST,42,392,106,157,697
adcdc969-fbcd-4e54-8623-0f1745c759ef,2024-04-13,TEXT,250,596,35,299,1180
fdcb15c2-74f4-43cb-aa05-e7e10083813f,2024-02-21,STATIC_POST,4620,745,471,229,6065
72899c05-f007-4f09-afff-ea2123590687,2024-02-12,VIDEO,4567,284,425,54,5330
de8bcfed-34dd-4379-9845-c3a79dfca03b,2024-02-03,VIDEO,1509,254,437,4,2204
