ID,DATE,MEDIATYPE,LIKES,SHARE,COMMENTS,ENGAGEMENT
433fc052-f6aa-4e80-b494-d1a19a7916c0,2024-05-07,TEXT,3254,904,313,4471
3b4b947e-2309-41de-a9c5-4af4a547c75b,2024-03-20,TEXT,1565,379,332,2276
a410d45d-b76d-47fa-b1ad-18715e85e57f,2024-11-24,TEXT,4086,996,198,5280
fcc6384d-3bc7-4b82-aed0-ad3849922286,2024-11-10,REELS,1539,731,64,2334
94641e3d-0382-42ff-8fae-0ef5bc0c641a,2024-09-13,TEXT,3808,146,121,4075
00a5cf97-79c4-4722-a91f-264cc2e9d8d8,2024-04-30,TEXT,3909,436,256,4601
53cd0b33-9aad-48be-8be4-e4f0c4037458,2024-05-17,REELS,3015,34,132,3181
fdbdcc3e-11d4-4409-8bf3-684a6e4a99be,2024-01-23,STATIC_POST,1800,830,331,2961
e9d1b665-c8e1-42e5-8af6-eb93659eabcd,2024-04-26,REELS,2602,173,3,2778
93cac00f-4b43-4cae-b88a-d20946c03c87,2024-06-06,REELS,3769,498,22,4289
960b7705-4978-43c0-b529-5ce07eab728e,2024-09-20,VIDEO,4900,280,395,5575
278c8147-04c2-47a0-8175-2216bd0654ab,2024-09-19,STATIC_POST,4143,665,115,4923
e859e9e4-75de-4299-9c1d-50165e2889bf,2024-08-10,REELS,4226,832,175,5233
cd4e1dbb-a7da-443a-8c12-d787d9fe7f2a,2024-05-23,REELS,958,302,34,1294
c892b6d7-d165-477f-9320-997d69cf86c5,2024-12-22,STATIC_POST,849,355,354,1558
c08779ca-e800-47a3-9393-25d28d0c8e57,2024-06-14,STATIC_POST,1411,932,192,2535
709b89af-ecec-4abc-8a92-9e9c8839c7dd,2024-06-02,TEXT,3419,895,248,4562
29abeb84-da0c-4acb-8ac8-ee6033902e36,2024-11-21,VIDEO,530,588,38,1156
c293e303-94ab-43fb-8f99-4d3b593d1972,2025-01-02,REELS,4039,617,225,4881
88520705-013d-4fee-b5f3-69fa4961e20e,2024-06-13,TEXT,3096,546,70,3712
fb39b7b8-4f87-4abd-93e1-995da24ca165,2024-12-14,TEXT,1474,710,356,2540
19870da2-dc99-489d-9055-4e286c7713b6,2024-04-08,STATIC_POST,1361,56,253,1670
fed15d43-bbc6-49ab-a469-cddf9649d6c5,2024-06-01,TEXT,543,73,294,910
1177744d-e811-4bd1-909b-4265a97163a4,2024-07-13,VIDEO,4980,282,405,5667
944ab130-e364-475a-a475-f2e1e573bc54,2024-02-11,VIDEO,3112,761,301,4174
c87720a7-faaa-4d80-a414-d7b0fdcf383f,2024-01-14,STATIC_POST,1990,847,229,3066
c9069541-25aa-4aa9-9ed4-c8bf4663e9f8,2024-11-10,TEXT,2751,369,21,3141
95bc3126-31dc-4263-b8a0-59e9692ca9ba,2024-05-02,REELS,2715,261,78,3054
5cf3528c-d736-4a65-878c-67d31b0c7f62,2024-05-10,VIDEO,1905,488,471,2864
2dcb4497-6749-49b2-81bd-c865b3f31180,2024-08-20,VIDEO,3031,360,21,3412
f15f2cd4-d913-4345-bb55-b9b8571a9e91,2024-05-17,VIDEO,961,592,447,2000
6d01e0a0-1be8-4e77-bb80-1444c0574566,2024-01-30,VIDEO,2230,503,302,3035
a93dd995-1fd0-4aa2-9399-a01ddcd61575,2024-11-30,REELS,367,52,438,857
9f57d354-3f49-48d9-84f5-7be0fe0fe14d,2024-04-14,TEXT,4131,962,382,5475
e207a114-f3af-4283-a111-01131ab4d57c,2024-05-10,REELS,1409,553,61,2023
8be07cfd-f681-4bd7-bdc3-95bd17b28a11,2024-08-04,STATIC_POST,987,761,116,1864
417cc55d-01cd-4139-b209-1b3b8b9856fc,2024-10-26,REELS,1637,916,342,2895
b684a917-8956-432d-8da1-60845ff7a2a1,2024-08-05,TEXT,3888,346,115,4349
ace2dacc-bc34-45bd-8612-58f546681571,2024-10-26,STATIC_POST,2069,459,191,2719
5d68928b-d049-454a-98c9-fc7eb61cd817,2024-04-26,TEXT,807,912,393,2112
d3fc4425-9ce1-496e-8afd-703270883fb1,2024-11-12,VIDEO,4048,308,441,4797
a390a8f8-7e1e-4837-a02c-7f0aa55347a2,2024-04-05,VIDEO,3687,525,400,4612
6d41a2b1-4f81-4c7c-ad41-73136993a42c,2024-07-22,VIDEO,1409,318,498,2225
a5041d59-4520-463d-86cb-d662679a6468,2024-07-26,VIDEO,854,266,474,1594
360a8d60-3528-495d-b6a9-079e3781c71a,2024-08-02,TEXT,2664,356,246,3266
7552eca0-d042-4cbf-998c-a0d510a3e35b,2025-01-03,VIDEO,1719,618,76,2413
78c35314-c895-4f92-b79f-af94466cb393,2024-08-31,TEXT,3686,427,187,4300
f0f4bbd4-c3b9-4659-bcec-89aa31ef391e,2024-05-11,STATIC_POST,3560,812,454,4826
05261e39-a283-4d59-9f3e-08ffe78a2e66,2024-07-22,REELS,1224,255,124,1603
c722bbcf-184f-4fc8-9a9e-0091f3ffa171,2024-07-14,TEXT,3914,830,17,4761
e5fdd415-d98a-4ff1-96c1-35e6af5b609f,2024-06-24,STATIC_POST,243,165,423,831
53ca6791-ca5f-4889-8e13-7489c1869397,2024-07-16,REELS,4117,564,475,5156
7b78aca0-1e3e-419e-bbbc-de1c94cc3f9a,2024-03-09,STATIC_POST,63,763,28,854
7669f39f-7b20-4c0a-8c4b-13ca2826da29,2024-08-12,STATIC_POST,1996,656,56,2708
920e4cd4-afab-4240-91d0-41c99ee6947b,2024-10-07,TEXT,1435,629,22,2086
7cc2d7e8-bcb2-443c-a911-cbdd76bc48b7,2024-02-23,TEXT,1329,71,420,1820
c68d6793-52ab-449b-939d-e26e5fb20556,2024-11-25,TEXT,1351,6,343,1700
